Days,cases
1,1
2,1
3,1
4,2
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,5
34,5
35,28
36,30
37,31
38,34
39,39
40,43
41,56
42,62
43,73
44,82
45,102
46,113
47,119
48,142
49,156
50,194
51,244
52,330
53,396
54,499
55,536
56,657
57,727
58,887
59,987
60,1024
61,1251
62,1397
63,1998
64,2543
65,2567
66,3082
67,3588
68,4778
69,5311
70,5916
71,6725
72,7598
73,8446
74,9205
75,10453
76,11487
77,12322
78,13430
79,14352
80,15722
81,17615
82,18539
83,20080
84,21370
85,23077
86,24530
87,26283
88,27890
89,29451
90,31324
91,33062
92,34863
93,37257
94,39699
95,42505
96,46437
97,49400
98,52987
99,56351
100,59695
101,62808
102,67161
103,70768
104,74292
105,78055
106,81997
107,85784
108,90648
109,95698
110,100328
111,106475
112,112028
113,118226
114,124794
115,131423
116,138536
117,144950
118,150793
119,158086
120,165386
121,173491
122,181827
123,190609
124,198370
125,207191
126,216824
127,226713
128,236184
129,246622
130,257486
131,265928
132,276146
133,286605
134,297535
135,308993
136,320922
137,332424
138,343091
139,354065
140,366946
141,380532
142,395048
143,410451
144,425282
145,440215
146,456183
147,473105
148,490401
149,508953
150,528859
151,548318
152,566840
153,585481
154,604641
155,625544
156,648315
157,673165
158,697413
159,719664
160,742417
161,767296
162,793802
163,820916
164,849522
165,878254
166,906752
167,936181
168,968857
169,1003832
170,1039084
171,1077781
172,1118206
173,1155338
174,1193078
175,1238798
176,1288108
177,1337024
178,1385635
179,1435616
180,1480073
181,1531669
182,1581963
183,1634746
184,1695988
185,1750723
186,1803695
187,1855745
188,1908254
189,1964536
190,2027074
191,2088611
192,2153010
193,2215074
194,2268675
195,2329638
196,2396637
197,2461190
198,2525922
199,2589952
200,2647663
201,2702681
202,2767253
203,2836925
204,2905825
205,2975701
206,3044940
207,3106348
208,3167323
209,3224547
210,3310234
211,3387500
212,3463972
213,3542733
214,3621245
215,3691166
216,3769523
217,3853406
218,3936747
219,4023179
220,4113811
221,4204613
222,4280422
223,4370128
224,4465863
225,4562414
226,4659984
227,4754356
228,4846427
229,4930236
230,5020359
231,5118253
232,5214677
233,5308014
234,5400619
235,5487580
236,5562663
237,5646010
238,5732518
239,5818570
240,5903932
241,5992532
242,6074702
243,6145291
244,6225763
245,6312584
246,6394068
247,6473544
248,6549373
249,6623815
250,6685082
251,6757131
252,6835655
253,6906151
254,6979423
255,7053806
256,7120538
257,7175880
258,7239389
259,7307097
260,7370468
261,7432680
262,7494551
263,7550273
264,7597063
265,7651107
266,7706946
267,7761312
268,7814682
269,7864811
270,7909959
271,7946429
272,7990322
273,8040203
274,8088851
275,8137119
276,8184082
277,8229313
278,8267623
279,8313876
280,8364086
281,8411724
282,8462080
283,8507754
284,8553657
285,8591730
286,8636011
287,8683916
288,8728795
289,8773479
290,8814579
291,8845127
292,8874290
293,8912907
294,8958483
295,9004365
296,9050597
297,9095806
298,9139865
299,9177840
300,9222216
301,9266705
302,9309787
303,9351109
304,9392919
305,9431691
306,9462809
307,9499413
308,9534964
309,9571559
310,9608211
311,9644222
312,9677203
313,9703770
314,9735850
315,9767371
316,9796744
317,9826775
318,9857029
319,9884100
320,9906165
321,9932547
322,9956557
323,9979447
324,10004599
325,10031223
326,10055560
327,10075116
328,10099066
329,10123778
330,10146845
331,10169118
332,10187850
333,10207871
334,10224303
335,10244852
336,10266674
337,10286709
338,10305788
339,10323965
340,10340469
341,10356844
342,10374932
343,10395278
344,10413417
345,10413417
346,10450284
347,10466595
348,10479179
349,10495147
350,10512093
351,10527683
352,10542841
353,10557985
354,10571773
355,10581823
356,10595639
357,10610883
358,10625428
359,10639684
360,10654533
361,10667736
362,10676838
363,10689527
364,10701193
365,10720048
366,10733130
367,10746174
368,10757610
369,10766245
370,10777284
371,10790183
372,10802591
373,10814304
374,10826363
375,10838194
376,10847304
377,10858371
378,10871294
379,10880603
380,10892746
381,10904940
382,10916589
383,10925710
384,10937320
385,10950201
386,10963394
387,10977387
388,10991651
389,11005850
390,11016434
391,11030176
392,11046914
393,11063491
394,11079979
395,11096731
396,11112241
397,11124527
398,11139516
399,11156923
400,11173761
401,11192045
402,11210799
403,11229398
404,11244786
405,11262707
406,11285561
407,11308846
408,11333728
409,11359048
410,11385339
411,11409831
412,11438734
413,11474605
414,11514331
415,11555284
416,11599130
417,11646081
418,11686796
419,11734058
420,11787534
421,11846652
422,11908910
423,11971624
424,12039644
425,12095855
426,12149335
427,12221665
428,12303131
429,12392260
430,12485509
431,12589067
432,12686049
433,12801785
434,12928574
435,13060542
436,13205926
437,13358805
438,13527717
439,13689453
